28181,11804,1562
38317,11973,1514
35482,11858,1571
37613,11843,1569
19494,11553,1511
19497,11740,1549
73286,14137,None
38376,12004,1546
37676,11461,1493
41312,11397,1481
25301,11216,1453
25302,11224,1393
25303,11225,None
25304,10541,None
25305,11221,1464
25307,10540,None
25308,10543,404
25309,10544,325
25311,10546,None
25313,10552,639
25315,10549,None
25316,10550,None
25318,10559,312
25319,10560,None
25321,10557,None
25322,10558,318
25323,10561,None
25325,10563,91
25326,10564,None
25327,10565,None
25329,10616,None
25330,10619,286
25331,10620,244
25332,11170,None
25333,10489,217
25334,11172,1424
25336,10496,None
25337,10492,None
25338,11176,None
25340,10499,14
25341,10500,None
25342,11185,1385
25344,10498,171
25346,10503,334
25347,11189,1433
25348,11190,1415
25349,10684,605
25350,10505,253
25352,10573,None
25353,10574,463
25355,10512,None
25356,11199,1447
25357,11194,None
25358,10507,None
25360,10520,133
25361,10521,35
25362,10517,626
25363,10518,534
25364,10519,190
25365,10523,None
25366,10525,None
25367,10526,None
25369,10447,None
25370,10450,414
25371,10452,None
25372,10436,372
25373,10437,None
25375,10451,None
25376,11128,1448
25377,10527,237
25378,10528,None
35502,11905,1580
25381,10459,None
25382,10461,None
25383,10454,546
25384,11132,1466
25385,10455,None
25386,10458,None
25388,10465,None
32679,11970,1512
35516,11929,1586
25391,10462,None
25392,10463,None
25393,10467,576
25394,10468,157
25395,11148,1474
25397,10470,124
25398,10471,None
35533,11480,1497
28282,11565,1517
38427,11494,1499
37700,10214,None
37707,11792,1561
38488,11707,1543
25400,10569,None
25403,11156,None
25404,10477,33
25405,10473,274
25406,10474,None
25409,10484,161
25412,10376,None
25413,10353,None
25415,10355,247
25416,10363,None
25417,10367,450
25418,10368,549
25419,10378,None
25420,10379,None
25421,10381,193
25424,10480,None
25426,10483,None
25428,10400,None
25429,10401,393
25430,10391,None
25431,11076,1419
25432,10392,None
18145,11936,1587
25435,10413,None
25438,11087,1392
25439,10415,465
25442,10421,None
25443,10422,None
25444,10423,115
25445,10486,None
25446,10487,None
25447,10488,None
25448,10491,None
25449,10434,None
25450,11113,1452
25451,10435,428
25452,10426,8
25453,10427,454
25454,10428,361
25455,10439,638
25456,10440,None
25457,10662,None
25458,11032,1439
25459,10678,206
25460,10329,169
25461,10330,None
25462,10331,None
25463,10339,None
25466,10351,None
25467,11038,1411
25468,10356,None
25469,10357,441
25470,10370,None
25471,10371,114
25472,11048,1396
40782,11421,1484
25473,10361,15
25474,10383,178
40783,11447,None
25476,10384,None
25477,10385,None
25478,10387,651
25479,10393,None
35603,11581,None
25480,10394,None
25481,10397,333
40791,11545,1510
25483,10409,None
25484,10410,None
25485,11093,1387
25487,10419,None
25489,10944,1430
40799,11760,1552
25491,10265,350
25492,10253,None
35617,11672,1540
25493,10254,None
25494,10934,1432
25495,10372,164
25496,11057,1470
25497,10373,268
25498,10286,None
25499,10287,None
35652,11783,None
42986,12016,1598
35697,11869,1575
80778,24697,1610
72787,14131,1606
25500,10277,None
25502,10961,1386
33522,11719,1545
25504,10292,481
25505,10293,47
25506,11109,1435
40816,11845,None
25507,10430,None
25508,10431,562
25511,10303,None
25512,10295,467
25513,10296,None
25515,10312,40
25516,10313,None
25517,10314,376
25518,10305,None
25519,10306,None
25520,10307,None
25521,10308,175
25523,10319,432
25525,11003,1438
25526,10326,159
25527,10685,603
25528,10327,451
25529,10388,636
40839,11377,1479
25530,10389,384
25531,10210,None
25532,10209,None
25533,10882,1436
25534,10197,478
25535,10884,1405
25536,10336,None
25539,10442,None
25540,10232,462
25541,10918,None
25542,10240,261
25543,10224,None
25544,10225,111
33564,11374,1593
25546,10241,76
25548,10242,None
25549,10248,None
25550,10251,379
25551,10344,None
25553,11026,1200
25554,11027,None
25555,10349,123
25557,11036,1473
25558,10346,None
25559,10347,None
25560,10358,54
25563,10256,415
25564,10257,105
25565,10266,None
25566,10267,69
25567,10268,400
25568,10941,1418
25569,10262,231
25570,10279,None
25572,10964,1414
25573,10281,140
25575,10147,308
25576,10834,1469
25577,10828,1406
25578,10142,None
25581,10166,None
25582,10167,61
25583,10288,2
25584,10289,None
25585,10290,None
25587,10193,280
25588,10269,255
25590,10179,343
25592,10271,None
25593,10272,None
25595,10274,520
25596,10298,194
25597,10299,None
29179,11500,1500
35773,11863,1573
35774,11878,1577
32109,11995,1535
39376,11921,1583
39384,11732,1548
